Colorname,RGB,Type,http://www.workwithcolor.com/red-color-hue-range-01.htm,
tax break,"(67, 104, 104)",Green-Cyan,https://www.htmlcsscolor.com/hex/436868,
jade,"(0,168,107)",Green-Cyan,,
xanadu,"(115,134,120)",Green-Cyan,,
tropical rain forest,"(0,117,94)",Green-Cyan,,
dark spring green,"(23,114,69)",Green-Cyan,,
cadmium green,"(0,107,60)",Green-Cyan,,
forest green,"(1,68,33)",Green-Cyan,,
british racing green,"(0,66,37)",Green-Cyan,,
dark green,"(-100,-100,-100)",Green-Cyan,,"(1,50,32)"
dark jungle green,"(-100,-100,-100)",Green-Cyan,,"(26,26,33)"
bubbles,"(231,254,255)",Cyan,,
cyan,"(0,255,255)",Cyan,,
columbia blue,"(155,221,255)",Cyan,,
bright turquoise,"(8,232,222)",Cyan,,
baby blue,"(137,207,240)",Cyan,,
sky blue,"(135,206,235)",Cyan,,
pastel blue,"(174,198,207)",Cyan,,
turquoise,"(175,66,51)",Cyan,,
dark cyan,"(0,139,139)",Cyan,,
cerulean,"(0,123,167)",Cyan,,
teal,"(0,128,128)",Cyan,,
pine green,"(1,121,111)",Cyan,,
dark slate gray,"(47,79,79)",Cyan,Gray,
alice blue,"(240,248,255)",Cyan-Blue,,
baby blue eyes,"(161,202,241)",Cyan-Blue,,
carolina blue,"(153,186,221)",Cyan-Blue,,
iceberg,"(113,166,210)",Cyan-Blue,,
cornflower blue,"(100,49,237)",Cyan-Blue,,
dark pastel blue,"(119,158,203)",Cyan-Blue,,
united nations blue,"(91,146,229)",Cyan-Blue,,
bleu de france,"(49,140,231)",Cyan-Blue,,
azure,"(0,127,255)",Cyan-Blue,,
air force blue,"(93,138,168)",Cyan-Blue,,
glaucous,"(96,130,182)",Cyan-Blue,,
steel blue,"(70,130,180)",Cyan-Blue,,
denim,"(21,96,189)",Cyan-Blue,,
cadet,"(83,104,120)",Gray,,
cobalt,"(0,71,171)",Cyan-Blue,,
yale blue,"(15,77,146)",Cyan-Blue,,
dark cerulean,"(8,69,126)",Cyan-Blue,,
charcoal,"(54,69,79)",Cyan-Blue,Gray,
arsenic,"(59,68,75)",Cyan-Blue,Gray,
dark midnight blue,"(0,51,102)",Cyan-Blue,,
cool black,"(0,46,99)",Cyan-Blue,,
oxford blue,"(0,33,71)",Cyan-Blue,,
ghost white,"(248,248,255)",Blue,,
lavender blue,"(204,204,255)",Blue,,
lavender gray,"(196,195,208)",Blue,Gray,
ceil,"(146,161,207)",Blue,,
cool grey,"(140,146,172)",Blue,Gray,
blue,"(0,0,255)",Blue,,
cerulean blue,"(42,82,190)",Blue,,
international klein blue,"(0,47,167)",Blue,,
dark powder blue,"(0,51,153)",Blue,,
duke blue,"(0,0,156)",Blue,,
ultramarine,"(18,10,143)",Blue,,
dark blue,"(0,0,139)",Blue,,
navy blue,"(0,0,128)",Blue,,
midnight blue,"(25,25,112)",Blue,,
sapphire,"(8,37,103)",Blue,,
royal blue,"(0,35,102)",Blue,,
brigth lavender,"(191,148,228)",Blue-Magenta,,
lavender,"(181,126,220)",Blue-Magenta,,
dark pastel purple,"(150,111,214)",Blue-Magenta,,
violet,"(143,0,255)",Blue-Magenta,,
dark lavender,"(115,79,150)",Blue-Magenta,,
purple heart,"(105,53,156)",Blue-Magenta,,
bright ube,"(209,159,232)",Magenta,,
magenta,"(255,0,255)",Magenta,,
pastel violet,"(203,153,201)",Magenta,,
pastel purple,"(179,158,181)",Magenta,,
byzantine,"(189,51,164)",Magenta,,
dark violet,"(148,0,211)",Magenta,,
plum,"(142,69,133)",Magenta,,
dark magenta,"(139,0,139)",Magenta,,
byzantium,"(112,41,99)",Magenta,,
dark byzantium,"(93,57,84)",Magenta,,
lavender blush,"(255,240,245)",Magenta-Pink,,
classic rose,"(251,204,231)",Magenta-Pink,,
pastel magenta,"(244,154,194)",Magenta-Pink,,
sky magenta,"(207,113,175)",Magenta-Pink,,
bright pink,"(255,0,127)",Magenta-Pink,,
dark raspberry,"(135,38,87)",Magenta-Pink,,
eggplant,"(97,64,81)",Magenta-Pink,,
pastel pink,"(255,209,220)",Pink,,
pink,"(255,192,203)",Pink,,
cherry blossom pink,"(255,183,197)",Pink,,
flamingo pink,"(252,142,172)",Pink,,
dark pink,"(231,84,128)",Pink,,
blush,"(222,93,131)",Pink,,
cherry,"(222,49,99)",Pink,,
raspberry,"(227,11,93)",Pink,,
ruby,"(224,17,95)",Pink,,
bright maroon,"(195,33,72)",Pink,,
burgundy,"(128,0,32)",Pink,,
dark scarlet,"(86,3,25)",Pink,,
bubble gum,"(255,193,204)",Pink-Red,,
amaranth,"(229,43,80)",Pink-Red,,
dark terra cotta,"(204,78,92)",Pink-Red,,
bazaar,"(152,119,123)",Pink-Red,Gray,
alizarin,"(227,38,54)",Red,,
crimson,"(220,20,60)",Pink-Red,,
cadium red,"(227,0,34)",Pink-Red,,
cardinal,"(196,30,58)",Pink-Red,,
cordovan,"(137,63,69)",Pink-Red,,
carmine,"(150,0,24)",Pink-Red,,
rosewood,"(101,0,11)",Pink-Red,,
white,"(255,255,255)",White,,
gray,"(128,128,128)",Gray,,
dim gray,"(108,108,108)",Gray,,
silver,"(192,192,192)",Gray,,
black,"(0,0,0)",Black,,
